"roi","i2c2_m","i2c2_r","i2c2_diff","discr_m","discr_r","discr_diff","finger_m","finger_r","finger_diff"
241,0.25179590762711,0.356677517483426,-0.104881609856316,0.816308243727599,0.799269452939178,0.0170387907884209,0.155963302752294,0.284403669724771,-0.128440366972477
242,0.369742793976654,0.357998287302677,0.0117445066739775,0.920648572884811,0.910762827047231,0.00988574583758073,0.486238532110092,0.614678899082569,-0.128440366972477
243,0.432714325449177,0.336714130667606,0.0960001947815711,0.964725620115528,0.928824753652735,0.0359008664627931,0.706422018348624,0.697247706422018,0.00917431192660545
244,0.399432127923697,0.416034334002904,-0.0166022060792073,0.925341913013931,0.90217252803262,0.0231693849813115,0.477064220183486,0.44954128440367,0.0275229357798165
245,0.341440815788768,0.326677222099211,0.0147635936895568,0.749607118586476,0.73993374108053,0.00967337750594621,0.119266055045872,0.110091743119266,0.00917431192660551
246,0.442287455011305,0.381671867679373,0.060615587331932,0.902342422697927,0.903748506571087,-0.00140608387315988,0.44954128440367,0.394495412844037,0.055045871559633
247,0.443489046920171,0.400616340689026,0.0428727062311456,0.965914882772681,0.942235813795447,0.023679068977234,0.770642201834862,0.706422018348624,0.0642201834862386
248,0.41874773085693,0.397971294257205,0.0207764365997251,0.955912334352701,0.924694189602447,0.0312181447502548,0.752293577981651,0.614678899082569,0.137614678899083
249,0.390471478729403,0.399953526915259,-0.00948204818585607,0.964661909616038,0.946759259259259,0.0179026503567787,0.81651376146789,0.688073394495413,0.128440366972477
250,0.462296989740577,0.348247348558068,0.114049641182509,0.963111620795107,0.921774125042474,0.0413374957526333,0.752293577981651,0.614678899082569,0.137614678899083
251,0.462230109763685,0.373168645713197,0.0890614640504876,0.942065919130139,0.946079680598029,-0.00401376146789001,0.688073394495413,0.73394495412844,-0.0458715596330276
252,0.389271270510401,0.383725452757357,0.00554581775304375,0.935503737682637,0.907938328236493,0.0275654094461434,0.587155963302752,0.541284403669725,0.0458715596330276
253,0.474862030553721,0.413745028314773,0.0611170022389472,0.976766904519198,0.938126486578321,0.0386404179408767,0.761467889908257,0.669724770642202,0.0917431192660551
254,0.520043161861557,0.434399509561154,0.0856436523004033,0.966700645599728,0.94009089364594,0.0266097519537886,0.669724770642202,0.642201834862385,0.0275229357798165
255,0.361438456272584,0.419184012106977,-0.0577455558343934,0.965851172273191,0.941062894691927,0.0247882775812637,0.798165137614679,0.63302752293578,0.165137614678899
256,0.48647540598889,0.353161254635283,0.133314151353607,0.957313965341488,0.913205062861026,0.0441089024804621,0.651376146788991,0.55045871559633,0.100917431192661
257,0.328708310388382,0.364876900942645,-0.0361685905542623,0.922294427454978,0.906319337770951,0.0159750896840273,0.623853211009174,0.596330275229358,0.0275229357798166
258,0.389135157901927,0.381043157312658,0.00809200058926945,0.952471967380224,0.915706605222734,0.0367653621574899,0.596330275229358,0.568807339449541,0.0275229357798165
